,,堀切,35.743319,139.81765
葛飾區,,龜有,35.766567,139.847516
,,青砥,35.745865,139.856256
,,御花茶屋,35.747623,139.840103
,,堀切菖蒲園,35.747633,139.827534
,,京成立石,35.738166,139.84812
,,四木,35.731841,139.834901
,,金町站,35.769548,139.870459
,,京成金町,35.768634,139.870418
,,柴又,35.756746,139.875487
,,京成高砂,35.75089,139.866589
,,新柴又,35.751063,139.879395
,,新小岩,35.716913,139.857827
江戶川區,,平井站,35.706354,139.842232
,,京成小岩,35.742235,139.88362
,,江戶川,35.737746,139.896212
,,小岩,35.733121,139.881612
,,篠崎,35.706112,139.903872
,,瑞江,35.693263,139.897671
,,一之江,35.685953,139.882973
,,船堀,35.683813,139.863938
,,葛西,35.663591,139.872906
,,西葛西,35.664575,139.859197
,,葛西臨海公園,35.644391,139.861582
江東區,,森下（東京）,35.688085,139.79823
,,住吉駅,35.688792,139.815748
,,清澄白河駅,35.682269,139.798774
,,龜戶水神,35.699892,139.833367
,,亀戸,35.697355,139.826566
,,越中島,35.667979,139.792656
,,東大島,35.68994,139.847519
,,大島（東京）,35.689751,139.834333
,,西大島,35.689199,139.826025
,,南砂町,35.668434,139.831733
,,森下（東京）,35.688058,139.798221
,,東陽町,35.669588,139.818861
,,木場（東京）,35.669437,139.806465
,,門前仲町,35.671837,139.796059
,,市場前,35.645567,139.785634
,,新豐洲,35.648761,139.790135
,,豐洲,35.653761,139.795351
,,潮見,35.6589,139.81716
,,東京電訊,35.627587,139.778794
,,船科學館,"35.621363


",139.773076
,,電信中心,35.617582,139.779416
,,青海,35.624758,139.781165
,,國際展示場正門,35.630285,139.791476
,,有明（東京,35.634562,139.793366
,,東雲（東京）,35.640724,139.80357
,,辰巳,35.645842,139.810323
,,新木場,35.645926,139.826711
,, 有明網球之森站,35.640019,139.7888
千代田區,,東京站,35.681335,139.767068
,,秋葉原站,35.698398,139.773089
,,神田站,35.691842,139.770929
,,有樂町站,35.674924,139.762825
,,御茶之水站,35.699488,139.765226
,,水道橋站,35.702076,139.75351
,,飯田橋站,35.700555,139.744259
,,市谷站,35.691635,139.736113
,,溜池山王站,35.673836,139.741739
,, 末廣町站,35.702982,139.77174
,,國會議事堂前,35.673771,139.743266
