區域,景點,,地址,X,Y
,日暮里南公園,,,35.726882,139.776853
,荒川公園,,,35.735622,139.783854
,荒川自然公園,,,35.740715,139.785561
,三河島公園,,,35.737371,139.785656
,天王公園,,,35.738358,139.795102
,汐入公園,,,35.736556,139.809264
,尾久八幡神社,,,35.750544,139.765061
,経王寺,,,35.728349,139.768732
,スーパーバリュー 西尾久店,,,35.749204,139.758383
,オリンピック 西尾久店,,,35.7447,139.759872
,キャンドウ 東尾久店,,,35.745582,139.767916
,ドン・キホーテ 町屋店,,,35.752292,139.78666
,キャンドゥ 新三河島店,,,35.738073,139.772546
,いなげや 荒川西日暮里店,,,35.732008,139.773498
,日暮里繊維街,,,35.728861,139.776036
,Your Petia 三ノ輪店,,,35.730724,139.788876
,スーパーバリュー 荒川一丁目店,,,35.73697,139.785012
,べるぽーと汐入東館,,,35.737676,139.807955
,LaLaテラス南千住,,,35.735502,139.801451
,ロイヤルホームセンター 南千住店,,,35.734608,139.801739
,あらかわ遊園,,,35.753764,139.758464
,富士見坂,,,35.72968,139.766704
,谷中銀座,,,35.727675,139.766791
,サンパール荒川,,,35.73526,139.785119
足立區,見沼代親水公園,,,35.814533,139.77067
,舍人,,,35.805708,139.770061
,舍人公園,,,35.79642,139.770115
,谷在家,,,35.788791,139.770033
,西新井大師西,,,35.781471,139.770097
,竹之塚,,,35.794431,139.790777
,大師前,,,35.778932,139.781669
,六町,,,35.784448,139.821724
,江北,,,35.773907,139.770275
,高野（東京）,,,35.768455,139.770692
,扇大橋,,,35.76394,139.770758
,西新井,,,35.777187,139.790425
,梅島,,,35.772317,139.798062
,六町,,,35.784446,139.821712
,五反野,,,35.765877,139.809619
,青井,,,35.772568,139.820369
,小菅,,,35.758624,139.812648
,北綾瀨,,,35.776872,139.832117
,綾瀨,,,35.762231,139.824948
,足立小台,,,35.754624,139.770402
,北千住車站,,,35.749735,139.804704
,千住大橋,,,35.742374,139.797259
,牛田（東京）,,,35.744507,139.811468
,京成關屋,,,35.743928,139.81184
,堀切,,,35.743319,139.81765
,マルエツ 足立入谷店,,,35.805493,139.765929
,西友 加賀鹿浜店,,,35.788996,139.760462
,ケーヨーデイツー鹿浜店,,,35.785982,139.761155
,コモディイイダ 鹿浜店,,,35.784141,139.764826
,ジャパン 鹿浜店,,,35.780301,139.756043
,ベルクス足立古千谷店,,,35.807259,139.774273
,ジェーソン足立谷在家店,,,35.785214,139.772839
,㈱土屋鞄製造所,,,35.780748,139.771194
,肉のハナマサ 西新井店,,,35.778451,139.771888
,マルエツ 西新井店,,,35.785187,139.78241
,ヨークマート 栗原店,,,35.785633,139.785485
,ライフ扇大橋駅前店,,,35.764496,139.770122
,大江戸 本店,,,35.761673,139.76745
,ライフ江北駅前店,,,35.77463,139.771269
,アリオ西新井,,,35.774755,139.785973
,ワークマン 足立尾久橋通り店,,,35.766656,139.771169
,ビッグ･エー足立西新井本町店,,,35.772564,139.776899
,株式会社さんよう,,,35.801124,139.797743
,イトーヨーカドー 竹の塚店,,,35.795483,139.795246
,マックスバリュ・竹の塚店,,,35.793737,139.796444
,ドン・キホーテ竹の塚店,,,35.794821,139.794409
,西友足立島根店,,,35.780712,139.79737
,イオン西新井店,,,35.777639,139.791252
,ベルクス 足立花畑中央店,,,35.807112,139.811264
,業務スーパー 花畑店,,,35.799666,139.809824
,オリンピック 保木間店,,,35.790058,139.81667
,ベルクス 足立南花畑店,,,35.789243,139.819073
,ヤマダ電機 テックランド足立店,,,35.782479,139.803434
,MEGAドン・キホーテ 環七梅島店,,,35.778429,139.805055
,西友 青井店,,,35.77022,139.817044
,サミットストア五反野店,,,35.76737,139.808884
,ＡＢＳ東京流通卸売センター足立店,,,35.767657,139.80415
,ライフ六町駅前店,,,35.785623,139.822299
,ビバホーム足立神明店,,,35.793573,139.834344
,"ベニースーパー佐野店
",,,35.788757,139.837711
,ベルクス 足立加平店,,,35.778548,139.828733
,コジマ×ビックカメラ 足立加平店,,,35.777942,139.828812
,しまむら 加平店,,,35.778797,139.825971
,島忠・大谷田店,,,35.779271,139.839061
,バイク用品店 ナップス足立店,,,35.774692,139.825449
,西友 北綾瀬店,,,35.775824,139.836064
,アリオ亀有,,,35.764501,139.852645
,ライフ葛飾白鳥店,,,35.753532,139.844539
,ビッグ・エー 葛飾西亀有店,,,35.758689,139.84303
,ドン・キホーテ青戸店,,,35.746772,139.846305
,グルメシティ 千住曙町店,,,35.743455,139.8129
,足立市場,,,35.740843,139.799038
,ポンテポルタ千住,,,35.742356,139.795386
,北千住マルイ,,,35.75083,139.804622
,北鹿浜公園,,,35.782362,139.754227
,白旗塚史跡公園,,,35.801135,139.792656
,THE SPA 西新井,,,35.774907,139.789909
,ベルモント公園,,,35.77471,139.799006
,花畑公園,,,35.806066,139.807973
,足立区生物園,,,"35.792493,",139.807219
,一ツ家第一公園,,,35.780778,139.818679
,青和ばら公園,,,"35.771728

",139.818434
,荒川千住新橋緑地,,,35.759373,139.806384
,大谷田公園,,,35.778855,139.837712
,大谷田温泉 明神の湯,,,35.777901,139.847725
,中川公園,,,35.774764,139.845452
,東綾瀬公園,,,35.770229,139.832505
,新田さくら公園,,,35.768214,139.746162
,荒川西新井橋緑地,,,35.760317,139.792047
,千住ほんちょう公園,,,35.752718,139.803895
,柳原千草園,,,35.745487,139.81461
,西新井大師 總持寺,,,35.780281,139.779987
,鷲神社,,,35.785111,139.796926
,花畑大鷲神社,,,35.809379,139.820271
,千住本氷川神社,,,35.752596,139.802264
,ギャラクシティ,,,35.779763,139.790497
,足立区立郷土博物館,,,35.784462,139.841496
葛飾區,龜有,,,35.766567,139.847516
,青砥,,,35.745865,139.856256
,御花茶屋,,,35.747623,139.840103
,堀切菖蒲園,,,35.747633,139.827534
,京成立石,,,35.738166,139.84812
,四木,,,35.731841,139.834901
,金町站,,,35.769548,139.870459
,京成金町,,,35.768634,139.870418
,柴又,,,35.756746,139.875487
,京成高砂,,,35.75089,139.866589
,新柴又,,,35.751063,139.879395
,新小岩,,,35.716913,139.857827
,亀有公園,,,35.767857,139.848465
,亀有リリオパーク,,,35.766068,139.847169
,曳舟川親水公園,,,35.748894,139.840788
,上千葉砂原公園,,,35.757685,139.841836
,青戸平和公園,,,35.749517,139.85149
,堀切水辺公園,,,35.740435,139.82447
,堀切菖蒲園,,,35.7424,139.826104
,渋江公園,,,35.735816,139.843038
,東立石緑地公園,,,35.73234,139.853103
,水元公園,,,35.786435,139.869242
,"葛飾にいじゅくみらい公園
",,,35.770649,139.862606
,"新宿交通公園
",,,35.760875,139.86499
,柴又公園,,,35.756908,139.882422
,北沼交通公園,,,35.737218,139.86628
,新小岩公園,,,35.716148,139.854745
,立石熊野神社,,,35.740169,139.858087
,しばられ地蔵 南蔵院,,,35.779458,139.870893
,葛西神社,,,35.771475,139.878651
,柴又帝釋天（經榮山 題經寺）,,,"35.758323
",139.877991
,山本亭,,,35.758042,139.880099
,寅さん記念館,,,35.757156,139.880499
,かつしかシンフォニーヒルズ,,,35.742477,139.852334
,フーテンの寅像,,,35.756947,139.875671
,肉のハナマサ お花茶屋店,,,35.749363,139.837346
,ビッグ・エー 葛飾西亀有店,,,35.758704,139.842999
,アリオ亀有,,,35.764497,139.852656
,ジェーソン葛飾白鳥店,,,35.75385,139.846714
,ライフ葛飾白鳥店,,,35.753506,139.84456
,旬鮮食品館 カズン お花茶屋店,,,35.745396,139.840815
,いなげや お花茶屋店,,,35.746317,139.84338
,イトーヨーカドー 四つ木店,,,35.737214,139.838578
,サミットストア 葛飾区役所前店,,,35.741733,139.846067
,ライフ水元店,,,35.787346,139.856723
,イトーヨーカドー 金町店,,,35.770157,139.867534
,東急ストア 金町,,,35.77047,139.870399
,西友 葛飾新宿店,,,35.76324,139.861273
,グルメシティ 柴又店,,,35.759202,139.867922
,イトーヨーカドー 高砂店,,,35.750684,139.868781
,ピカソ 新小岩店,,,35.715658,139.858044
,友 新小岩店,,,35.71613,139.857478
,ライフ奥戸店,,,35.730665,139.862708
,ビバホーム 奥戸街道店,,,35.736396,139.856663
江戶川區,平井站,,,35.706354,139.842232
,京成小岩,,,35.742235,139.88362
,江戶川,,,35.737746,139.896212
,小岩,,,35.733121,139.881612
,篠崎,,,35.706112,139.903872
,瑞江,,,35.693263,139.897671
,一之江,,,35.685953,139.882973
,船堀,,,35.683813,139.863938
,葛西,,,35.663591,139.872906
,西葛西,,,35.664575,139.859197
,葛西臨海公園,,,35.644391,139.861582
,都立大島小松川公園滑り台,,,35.691742,139.850157
,大島小松川公園,,,35.692533,139.846736
,篠崎公園,,,35.715305,139.897979
,篠崎公園 B地区,,,35.708316,139.896188
,今井児童交通公園,,,35.680621,139.887285
,ボートレース江戸川,,,35.692515,139.86144
,東京健康ランド まねきの湯,,,35.686858,139.861546
,宇喜田公園,,,35.674399,139.860506
,江戸川区自然動物園,,,35.671085,139.8584
,新左近川親水公園,,,35.653848,139.857299
,葛西臨海公園,,,35.642331,139.860271
,富士公園,,,35.648705,139.878313
,荒川ロックゲート,,,35.683042,139.847525
,春花園 盆栽美術館,,,35.702624,139.888351
,地下鉄博物館,,,35.663539,139.873778
,葛西臨海水族園,,,35.640178,139.862133
,篠崎浅間神社,,,35.714939,139.901947
,ダイヤと花の大観覧車,,,35.644077,139.857045
,ファッションセンターしまむら平井店,,,35.716809,139.835991
,西友平井店,,,35.706679,139.841618
,島忠・ホームズ平井店,,,"35.703928
",139.836042
,ライフ 西小岩店,,,35.736966,139.879268
,サミットストア 西小岩店,,,35.740732,139.87709
,いなげや 江戸川春江店,,,35.698395,139.890192
,コモディイイダ 西瑞江店,,,35.690047,139.892428
,河内屋酒販 瑞江店,,,35.696227,139.894211
,ヤマイチ 今井店,,,35.687022,139.893161
,イオン葛西店,,,35.669283,139.858443
,ドン・キホーテ 葛西店,,,35.669439,139.863765
,ヤマダ電機 テックランドNew葛西店,,,35.667783,139.866285
,ワイズマート 中葛西店,,,35.66548,139.865198
,島忠ホームズ 葛西店,,,35.654014,139.882593
,イトーヨーカドー アリオ葛西店,,,35.652611,139.881821
,西友 南葛西店,,,35.645934,139.872324
江東區,森下（東京）,,,35.688085,139.79823
,住吉駅,,,35.688792,139.815748
,清澄白河駅,,,35.682269,139.798774
,龜戶水神,,,35.699892,139.833367
,亀戸,,,35.697355,139.826566
,越中島,,,35.667979,139.792656
,東大島,,,35.68994,139.847519
,大島（東京）,,,35.689751,139.834333
,西大島,,,35.689199,139.826025
,南砂町,,,35.668434,139.831733
,森下（東京）,,,35.688058,139.798221
,東陽町,,,35.669588,139.818861
,木場（東京）,,,35.669437,139.806465
,門前仲町,,,35.671837,139.796059
,市場前,,,35.645567,139.785634
,新豐洲,,,35.648761,139.790135
,豐洲,,,35.653761,139.795351
,潮見,,,35.6589,139.81716
,東京電訊,,,35.627587,139.778794
,船科學館,,,"35.621363


",139.773076
,電信中心,,,35.617582,139.779416
,青海,,,35.624758,139.781165
,國際展示場正門,,,35.630285,139.791476
,有明（東京,,,35.634562,139.793366
,東雲（東京）,,,35.640724,139.80357
,辰巳,,,35.645842,139.810323
,新木場,,,35.645926,139.826711
,コーナン 江東深川店,,,35.678116,139.795918
,業務スーパー 河内屋酒販 亀戸店,,,35.700128,139.823124
,アトレ亀戸,,,35.697673,139.826347
,マルエツ 清澄白河店,,,35.682402,139.80758
,ヤマダ電機 ヤマダアウトレット南砂店,,,35.675455,139.825399
,西友東陽町店,,,35.672399,139.819403
,深川ギャザリア,,,35.667362,139.804015
,豊洲フォレシア,,,35.657554,139.795008
,アーバンドック ららぽーと豊洲,,,35.655873,139.792563
,ダイバーシティ東京 プラザ,,,35.625055,139.775456
,ヴィーナスフォート,,,35.624895,139.779932
,ニトリ 南砂店,,,35.672183,139.826825
,ダイエー 東大島店,,,35.690713,139.842848
,アリオ北砂,,,35.682588,139.825788
,スナモ,,,35.665155,139.835159
,デックス東京ビーチ,,,35.629103,139.775926
,アクアシティお台場,,,35.627823,139.77357
,ヨークマート 東砂店,,,35.684943,139.840653
,清澄庭園,,,35.68072,139.797806
,猿江恩賜公園,,,35.690575,139.818717
,木場公園,,,35.676789,139.807545
,木場公園都市緑化植物園,,,35.672993,139.807165
,大島小松川公園,,,35.692526,139.846684
,猿江恩賜公園,,,35.635598,139.787014
,東京臨海廣域防災公園,,,35.634918,139.796216
,ウエストプロムナード,,,35.62351,139.774855
,都立潮風公,,,35.624019,139.768834
,お台場海浜公園,,,35.630784,139.776065
,お台場 大江戸温泉物語,,,35.615514,139.777487
,暁ふ頭公園,,,35.608197,139.791299
,辰巳の森海浜公園,,,35.64855,139.815715
,夢之島公園,,,35.651359,139.827931
,東京夢の島マリーナ,,,35.652155,139.831231
,若洲海浜公園,,,35.622303,139.837268
,Museum of Contemporary Art Tokyo,,,35.679757,139.808055
,深川江戸資料館,,,35.681215,139.800593
,江東区文化センター,,,35.672561,139.81863
,がすてなーに,,,35.651859,139.792343
,豊洲PIT,,,35.64961,139.788357
,IHIステージアラウンド東京,,,35.647469,139.785105
,台場公園,,,35.633631,139.772084
,自由女神像,,,35.627858,139.771823
,日本科學未來館,,,35.619287,139.776763
,東京國際展示場,,,35.629893,139.794243
,パナソニックセンター東京,,,35.633087,139.790493
,国際展示場東7ホール,,,35.6335,139.799432
,東京都水的科學館,,,35.630875,139.785436
,ageHa,,,35.642242,139.825316
,亀戸天神社,,,35.70308,139.820651
